owasp_id,owasp_name,skos_match_type,ibm_risk_id,ibm_risk_name,ibm_category,mit_action_id,mit_action_name,Sub_category,Category
llm01-prompt-injection,LLM01:2025 Prompt Injection,exactMatch,atlas-prompt-injection,Prompt injection attack,ibm-risk-atlas-robustness-Prompt-attacks,A0897_UK Government2023,Model Prompting,2.3 Model Safety Engineering,2. Technical & Security Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,exactMatch,atlas-prompt-injection,Prompt injection attack,ibm-risk-atlas-robustness-Prompt-attacks,A0522_NIST2024,AI Red-Teaming Resilience,3.1 Testing & Auditing,3. Operational Process Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,exactMatch,atlas-prompt-injection,Prompt injection attack,ibm-risk-atlas-robustness-Prompt-attacks,A0855_UK Government2023,Prompt Injection Vulnerability Reports,4.3 Incident Reporting,4. Transparency & Accountability Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,broadMatch,atlas-jailbreaking,Jailbreaking,ibm-risk-atlas-robustness-model-behavior-manipulation,A0894_UK Government2023,Robust Content Filters,2.3 Model Safety Engineering,2. Technical & Security Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,broadMatch,atlas-jailbreaking,Jailbreaking,ibm-risk-atlas-robustness-model-behavior-manipulation,A1019_Uuk2024,Adversarial Robustness,2.3 Model Safety Engineering,2. Technical & Security Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,broadMatch,atlas-jailbreaking,Jailbreaking,ibm-risk-atlas-robustness-model-behavior-manipulation,A0854_UK Government2023,Jailbreaking Method Vulnerability Reports,4.3 Incident Reporting,4. Transparency & Accountability Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,broadMatch,atlas-prompt-priming,Prompt priming,ibm-risk-atlas-robustness-Prompt-attacks,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,broadMatch,atlas-prompt-priming,Prompt priming,ibm-risk-atlas-robustness-Prompt-attacks,A0897_UK Government2023,Model Prompting,2.3 Model Safety Engineering,2. Technical & Security Controls
llm01-prompt-injection,LLM01:2025 Prompt Injection,broadMatch,atlas-prompt-priming,Prompt priming,ibm-risk-atlas-robustness-Prompt-attacks,A0918_UK Government2023,Audits for Private or Sensitive Information,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-exposing-personal-information,Exposing personal information,ibm-risk-atlas-privacy,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-exposing-personal-information,Exposing personal information,ibm-risk-atlas-privacy,A0507_NIST2024,Data Provenance Verification,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-exposing-personal-information,Exposing personal information,ibm-risk-atlas-privacy,A0919_UK Government2023,Audits for Biases in the Data,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-prompt-leaking,Prompt leaking,ibm-risk-atlas-robustness-Prompt-attacks,A0897_UK Government2023,Model Prompting,2.3 Model Safety Engineering,2. Technical & Security Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-prompt-leaking,Prompt leaking,ibm-risk-atlas-robustness-Prompt-attacks,A0918_UK Government2023,Audits for Private or Sensitive Information,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-prompt-leaking,Prompt leaking,ibm-risk-atlas-robustness-Prompt-attacks,A0132_Future of Life Institute2024,Ongoing model risk assessments,1.2 Risk Management,1. Governance & Oversight Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-revealing-confidential-information,Revealing confidential information,ibm-risk-atlas-intellectual-property,A0531_NIST2024,Data Exposure Red-Teaming,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-revealing-confidential-information,Revealing confidential information,ibm-risk-atlas-intellectual-property,A0918_UK Government2023,Audits for Private or Sensitive Information,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,broadMatch,atlas-revealing-confidential-information,Revealing confidential information,ibm-risk-atlas-intellectual-property,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-attribute-inference-attack,Attribute inference attack,ibm-risk-atlas-privacy,A0932_UK Government2023,Independent Data Input Audits,4.5 Third-Party System Access,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-attribute-inference-attack,Attribute inference attack,ibm-risk-atlas-privacy,A0474_NIST2024,Training Data Diligence,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-attribute-inference-attack,Attribute inference attack,ibm-risk-atlas-privacy,A0918_UK Government2023,Audits for Private or Sensitive Information,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-confidential-data-in-prompt,Confidential data in prompt,ibm-risk-atlas-intellectual-property,A0531_NIST2024,Data Exposure Red-Teaming,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-confidential-data-in-prompt,Confidential data in prompt,ibm-risk-atlas-intellectual-property,A0918_UK Government2023,Audits for Private or Sensitive Information,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-confidential-data-in-prompt,Confidential data in prompt,ibm-risk-atlas-intellectual-property,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-confidential-information-in-data,Confidential information in data,ibm-risk-atlas-intellectual-property,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
